"","island","item","wh","gap","region","model","surprisal"
"215","nocomp",11,"what","gap","continuation","NGRAM",29.3100395934266
"216","nocomp",11,"what","nogap","embed_obj","GPT2",12.0937614440918
"217","nocomp",11,"what","nogap","embed_obj","GPT3",10.0309536
"218","nocomp",11,"what","nogap","embed_obj","GRNN",16.6912941932678
"219","nocomp",11,"what","nogap","embed_obj","JRNN",18.274631023407
"220","nocomp",11,"what","nogap","embed_obj","NGRAM",20.4192408108838
"221","nocomp",12,"that","gap","continuation","GPT2",23.4385725259781
"222","nocomp",12,"that","gap","continuation","GPT3",23.6789877
"223","nocomp",12,"that","gap","continuation","GRNN",30.7959780693054
"224","nocomp",12,"that","gap","continuation","JRNN",37.0678360462189
"225","nocomp",12,"that","gap","continuation","NGRAM",49.9873858013807
"226","nocomp",12,"that","nogap","embed_obj","GPT2",11.9823052883148
"227","nocomp",12,"that","nogap","embed_obj","GPT3",11.2500624
"228","nocomp",12,"that","nogap","embed_obj","GRNN",23.6426701545715
"229","nocomp",12,"that","nogap","embed_obj","JRNN",15.2937710285187
"230","nocomp",12,"that","nogap","embed_obj","NGRAM",36.9205173288331
"231","nocomp",12,"what","gap","continuation","GPT2",23.5411323308944
"232","nocomp",12,"what","gap","continuation","GPT3",21.7202659
"233","nocomp",12,"what","gap","continuation","GRNN",31.427861571312
"234","nocomp",12,"what","gap","continuation","JRNN",33.9156758785248
"235","nocomp",12,"what","gap","continuation","NGRAM",49.9873858013807
"236","nocomp",12,"what","nogap","embed_obj","GPT2",12.4132652282715
"237","nocomp",12,"what","nogap","embed_obj","GPT3",11.3456355
"238","nocomp",12,"what","nogap","embed_obj","GRNN",28.503665447235
"239","nocomp",12,"what","nogap","embed_obj","JRNN",19.3410167694092
"240","nocomp",12,"what","nogap","embed_obj","NGRAM",36.9205173288331
"241","nocomp",13,"that","gap","continuation","GPT2",15.7569983005524
"242","nocomp",13,"that","gap","continuation","GPT3",18.6518029
"243","nocomp",13,"that","gap","continuation","GRNN",22.4308799505234
"244","nocomp",13,"that","gap","continuation","JRNN",21.5237364768982
"245","nocomp",13,"that","gap","continuation","NGRAM",40.6156920886951
"246","nocomp",13,"that","nogap","embed_obj","GPT2",11.1616786718369
"247","nocomp",13,"that","nogap","embed_obj","GPT3",9.48500183
"248","nocomp",13,"that","nogap","embed_obj","GRNN",14.357760310173
"249","nocomp",13,"that","nogap","embed_obj","JRNN",16.1609805822372
"250","nocomp",13,"that","nogap","embed_obj","NGRAM",27.9333091874221
"251","nocomp",13,"what","gap","continuation","GPT2",11.700220823288
"252","nocomp",13,"what","gap","continuation","GPT3",12.3998295
