test,item,lisc,pron,island,region,model,surprisal
gender_cnp,3,fem,fem,obj,pronoun,NGRAM,12.357812331839
gender_cnp,3,fem,fem,obj,pronoun,NGRAM,12.357812331839
gender_coord,3,fem,male,obj,pronoun,NGRAM,6.80737438125955
gender_coord,3,fem,male,obj,pronoun,NGRAM,6.80737438125955
gender_cnp,3,fem,male,obj,pronoun,NGRAM,6.80737438125955
gender_cnp,3,fem,male,obj,pronoun,NGRAM,6.80737438125955
gender_coord,3,fem,fem,island,pronoun,NGRAM,9.54576655180157
gender_coord,3,fem,male,island,pronoun,NGRAM,7.53721895814034
gender_cnp,3,fem,fem,island,pronoun,NGRAM,11.2110417859804
gender_cnp,3,fem,male,island,pronoun,NGRAM,9.78726977056053
gender_adjunct,24,fem,fem,island,pronoun,NGRAM,10.9569910760356
gender_adjunct,24,fem,male,island,pronoun,NGRAM,8.59600402976939
gender_wh,24,fem,fem,obj,pronoun,NGRAM,10.9569910760356
gender_wh,24,fem,male,obj,pronoun,NGRAM,8.59600402976939
gender_wh,24,fem,fem,island,pronoun,NGRAM,10.9569910760356
gender_wh,24,fem,male,island,pronoun,NGRAM,8.59600402976939
gender_adjunct,24,fem,fem,obj,pronoun,NGRAM,10.9569910760356
gender_adjunct,24,fem,male,obj,pronoun,NGRAM,8.59600402976939
gender_sent-subj,24,fem,fem,island,pronoun,NGRAM,11.6454997204473
gender_sent-subj,24,fem,male,island,pronoun,NGRAM,8.85598446391286
gender_subj,24,fem,fem,island,pronoun,NGRAM,9.13693339100635
gender_subj,24,fem,male,island,pronoun,NGRAM,6.89806039209917
gender_sent-subj,24,fem,fem,obj,pronoun,NGRAM,11.6454997204473
gender_sent-subj,24,fem,male,obj,pronoun,NGRAM,8.85598446391286
gender_subj,24,fem,fem,obj,pronoun,NGRAM,9.13693339100635
gender_subj,24,fem,male,obj,pronoun,NGRAM,6.89806039209917
gender_cnp,24,fem,fem,obj,pronoun,NGRAM,11.6454997204473
gender_cnp,24,fem,fem,obj,pronoun,NGRAM,11.6454997204473
gender_coord,24,fem,fem,obj,pronoun,NGRAM,11.6454997204473
gender_coord,24,fem,fem,obj,pronoun,NGRAM,11.6454997204473
gender_coord,24,fem,male,obj,pronoun,NGRAM,8.85598446391286
gender_coord,24,fem,male,obj,pronoun,NGRAM,8.85598446391286
gender_cnp,24,fem,male,obj,pronoun,NGRAM,8.85598446391286
gender_cnp,24,fem,male,obj,pronoun,NGRAM,8.85598446391286
gender_cnp,24,fem,fem,island,pronoun,NGRAM,12.1188656344409
gender_cnp,24,fem,male,island,pronoun,NGRAM,7.67270401677552
gender_coord,24,fem,fem,island,pronoun,NGRAM,9.54576655180157
gender_coord,24,fem,male,island,pronoun,NGRAM,7.53721895814034
gender_adjunct,18,fem,fem,obj,pronoun,NGRAM,10.7958805711437
gender_adjunct,18,fem,male,obj,pronoun,NGRAM,9.37210925995181
gender_wh,18,fem,fem,obj,pronoun,NGRAM,10.7958805711437
gender_wh,18,fem,male,obj,pronoun,NGRAM,9.37210925995181
gender_wh,18,fem,fem,island,pronoun,NGRAM,10.7958805711437
gender_wh,18,fem,male,island,pronoun,NGRAM,9.37210925995181
gender_cnp,18,fem,fem,obj,pronoun,NGRAM,10.7958805711437
gender_cnp,18,fem,fem,obj,pronoun,NGRAM,10.7958805711437
gender_coord,18,fem,fem,obj,pronoun,NGRAM,10.7958805711437
gender_coord,18,fem,fem,obj,pronoun,NGRAM,10.7958805711437
gender_cnp,18,fem,male,obj,pronoun,NGRAM,9.37210925995181
gender_cnp,18,fem,male,obj,pronoun,NGRAM,9.37210925995181
gender_coord,18,fem,male,obj,pronoun,NGRAM,9.37210925995181
gender_coord,18,fem,male,obj,pronoun,NGRAM,9.37210925995181
gender_cnp,18,fem,fem,island,pronoun,NGRAM,11.2166489210015
gender_cnp,18,fem,male,island,pronoun,NGRAM,9.7928769509385
gender_coord,18,fem,fem,island,pronoun,NGRAM,9.54576655180157
gender_coord,18,fem,male,island,pronoun,NGRAM,7.53721895814034
gender_adjunct,18,fem,fem,island,pronoun,NGRAM,10.7958805711437
gender_adjunct,18,fem,male,island,pronoun,NGRAM,9.37210925995181
gender_sent-subj,18,fem,fem,island,pronoun,NGRAM,11.5771992800469
gender_sent-subj,18,fem,male,island,pronoun,NGRAM,10.1534280151823
gender_subj,18,fem,fem,island,pronoun,NGRAM,8.66746850321456
gender_subj,18,fem,male,island,pronoun,NGRAM,6.0722754817827
gender_subj,18,fem,fem,obj,pronoun,NGRAM,8.66746850321456
gender_subj,18,fem,male,obj,pronoun,NGRAM,6.0722754817827
gender_sent-subj,18,fem,fem,obj,pronoun,NGRAM,11.5771992800469
gender_sent-subj,18,fem,male,obj,pronoun,NGRAM,10.1534280151823
gender_adjunct,18,male,fem,obj,pronoun,NGRAM,10.7958805711437
gender_adjunct,18,male,male,obj,pronoun,NGRAM,9.37210925995181
gender_wh,18,male,fem,obj,pronoun,NGRAM,10.7958805711437
gender_wh,18,male,male,obj,pronoun,NGRAM,9.37210925995181
gender_wh,18,male,fem,island,pronoun,NGRAM,10.7958805711437
gender_wh,18,male,male,island,pronoun,NGRAM,9.37210925995181
gender_cnp,18,male,fem,obj,pronoun,NGRAM,10.7958805711437
gender_cnp,18,male,fem,obj,pronoun,NGRAM,10.7958805711437
gender_coord,18,male,fem,obj,pronoun,NGRAM,10.7958805711437
gender_coord,18,male,fem,obj,pronoun,NGRAM,10.7958805711437
gender_cnp,18,male,male,obj,pronoun,NGRAM,9.37210925995181
gender_cnp,18,male,male,obj,pronoun,NGRAM,9.37210925995181
gender_coord,18,male,male,obj,pronoun,NGRAM,9.37210925995181
gender_coord,18,male,male,obj,pronoun,NGRAM,9.37210925995181
gender_cnp,18,male,fem,island,pronoun,NGRAM,11.2166489210015
gender_cnp,18,male,male,island,pronoun,NGRAM,9.7928769509385
gender_coord,18,male,fem,island,pronoun,NGRAM,9.54576655180157
gender_coord,18,male,male,island,pronoun,NGRAM,7.53721895814034
gender_adjunct,18,male,fem,island,pronoun,NGRAM,10.7958805711437
gender_adjunct,18,male,male,island,pronoun,NGRAM,9.37210925995181
gender_sent-subj,18,male,fem,island,pronoun,NGRAM,11.5771992800469
gender_sent-subj,18,male,male,island,pronoun,NGRAM,10.1534280151823
gender_subj,18,male,fem,island,pronoun,NGRAM,8.66746850321456
gender_subj,18,male,male,island,pronoun,NGRAM,6.0722754817827
gender_subj,18,male,fem,obj,pronoun,NGRAM,8.66746850321456
gender_subj,18,male,male,obj,pronoun,NGRAM,6.0722754817827
gender_sent-subj,18,male,fem,obj,pronoun,NGRAM,11.5771992800469
gender_sent-subj,18,male,male,obj,pronoun,NGRAM,10.1534280151823
gender_sent-subj,20,fem,fem,island,pronoun,NGRAM,11.3875898319692
gender_sent-subj,20,fem,male,island,pronoun,NGRAM,9.96381923020196
gender_subj,20,fem,fem,island,pronoun,NGRAM,10.2261699693342
gender_subj,20,fem,male,island,pronoun,NGRAM,7.86518299738798
